station,valid, tmpc ,  relh ,  mslp ,  p01m ,  vsby
NYC,2013-01-01 01:51,3.30,61.94,1011.70,0.00,10.00
NYC,2013-01-01 02:51,3.90,61.63,1011.60,0.00,10.00
NYC,2013-01-01 03:51,3.90,61.63,1011.90,0.00,10.00
NYC,2013-01-01 04:51,3.90,61.63,1011.60,0.00,10.00
NYC,2013-01-01 05:51,3.90,59.37,1011.20,0.00,10.00
NYC,2013-01-01 06:51,3.90,59.37,1011.60,0.00,10.00
NYC,2013-01-01 07:51,3.30,64.29,1011.70,0.00,10.00
NYC,2013-01-01 08:51,3.90,61.63,1011.80,0.00,10.00
NYC,2013-01-01 09:51,3.90,61.63,1012.20,0.00,10.00
NYC,2013-01-01 10:51,3.90,61.63,1011.90,0.00,10.00
NYC,2013-01-01 11:51,3.90,59.37,1011.00,0.00,10.00
NYC,2013-01-01 12:51,2.80,61.35,1011.20,0.00,10.00
NYC,2013-01-01 13:51,2.80,61.35,1010.40,0.00,10.00
NYC,2013-01-01 14:51,3.30,57.04,1010.40,0.00,10.00
NYC,2013-01-01 15:51,3.30,50.14,1011.50,0.00,10.00
NYC,2013-01-01 16:51,2.20,47.57,1011.60,0.00,10.00
NYC,2013-01-01 17:51,1.70,45.26,1013.00,0.00,10.00
NYC,2013-01-01 18:51,0.60,47.10,1013.80,0.00,10.00
NYC,2013-01-01 19:51,0.00,46.92,1014.10,0.00,10.00
NYC,2013-01-01 20:51,-1.10,48.48,1014.90,0.00,10.00
NYC,2013-01-01 21:51,-1.70,48.69,1015.40,0.00,10.00
NYC,2013-01-01 22:51,-2.80,46.08,1016.00,0.00,10.00
NYC,2013-01-01 23:51,-3.30,50.20,1016.10,0.00,10.00
NYC,2013-01-02 00:51,-3.90,52.50,1016.10,0.00,10.00
NYC,2013-01-02 01:51,-3.30,50.20,1016.20,0.00,10.00
NYC,2013-01-02 03:51,-5.00,54.34,1016.20,0.00,10.00
NYC,2013-01-02 04:51,-5.00,54.34,1016.40,0.00,10.00
NYC,2013-01-02 05:51,-5.60,56.87,1016.20,0.00,10.00
NYC,2013-01-02 06:51,-5.60,56.87,1016.60,0.00,10.00
NYC,2013-01-02 07:51,-5.00,54.34,1017.00,0.00,10.00
NYC,2013-01-02 08:51,-4.40,54.51,1017.70,0.00,10.00
NYC,2013-01-02 09:51,-3.90,50.02,1018.20,0.00,10.00
NYC,2013-01-02 10:51,-3.30,50.20,1017.80,0.00,10.00
NYC,2013-01-02 11:51,-2.20,48.15,1016.90,0.00,10.00
NYC,2013-01-02 12:51,-1.10,44.41,1016.20,0.00,10.00
NYC,2013-01-02 13:51,-0.60,42.82,1016.70,0.00,10.00
