State,City,FAA,IATA,ICAO,Airport
ALABAMA,Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport
ALABAMA,Dothan,DHN,DHN,KDHN,Dothan Regional Airport
ALABAMA,Huntsville,HSV,HSV,KHSV,Huntsville International Airport
ALABAMA,Mobile,MOB,MOB,KMOB,Mobile Regional Airport
ALABAMA,Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field)
ALASKA,Anchorage,LHD,,PALH,Lake Hood Seaplane Base
ALASKA,Anchorage,MRI,MRI,PAMR,Merrill Field
ALASKA,Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport
ALASKA,Aniak,ANI,ANI,PANI,Aniak Airport
ALASKA,Barrow,BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport
ALASKA,Bethel,BET,BET,PABE,Bethel Airport
ALASKA,Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport
ALASKA,Deadhorse / Prudhoe Bay,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport)
ALASKA,Dillingham,DLG,DLG,PADL,Dillingham Airport
ALASKA,Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport
ALASKA,Galena,GAL,GAL,PAGA,Edward G. Pitka Sr. Airport
ALASKA,Gustavus,GST,GST,PAGS,Gustavus Airport
ALASKA,Homer,HOM,HOM,PAHO,Homer Airport
ALASKA,Hoonah,HNH,HNH,PAOH,Hoonah Airport
ALASKA,Juneau,JNU,JNU,PAJN,Juneau International Airport
ALASKA,Kenai,ENA,ENA,PAEN,Kenai Municipal Airport
ALASKA,Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport
ALASKA,King Salmon,AKN,AKN,PAKN,King Salmon Airport
ALASKA,Kodiak,ADQ,ADQ,PADQ,Kodiak Airport
ALASKA,Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport
ALASKA,Nome,OME,OME,PAOM,Nome Airport
ALASKA,Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport
ALASKA,Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport
ALASKA,St. Mary's,KSM,KSM,PASM,St. Mary's Airport
ALASKA,Unalakleet,UNK,UNK,PAUN,Unalakleet Airport
ALASKA,Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen Airport)
ALASKA,Valdez,VDZ,VDZ,PAVD,Valdez Airport (Pioneer Field)
ALASKA,Wrangell,WRG,WRG,PAWG,Wrangell Airport
ALASKA,Yakutat,YAK,YAK,PAYA,Yakutat Airport
ARIZONA,Bullhead City,IFP,IFP,KIFP,Laughlin/Bullhead International Airport
ARIZONA,Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam Airport
ARIZONA,Grand Canyon / Tusayan,GCN,GCN,KGCN,Grand Canyon National Park Airport
ARIZONA,Mesa,IWA,AZA,KIWA,Phoenix–Mesa Gateway Airport
ARIZONA,Page,PGA,PGA,KPGA,Page Municipal Airport
ARIZONA,Peach Springs,1G4,GCW,,Grand Canyon West Airport
ARIZONA,Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport
ARIZONA,Tucson,TUS,TUS,KTUS,Tucson International Airport
ARIZONA,Yuma,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma
ARKANSAS,Fayetteville,XNA,XNA,KXNA,Northwest Arkansas Regional Airport
ARKANSAS,Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport
ARKANSAS,Little Rock,LIT,LIT,KLIT,Bill and Hillary Clinton National Airport (Adams Field)
ARKANSAS,Texarkana,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field)
CALIFORNIA,Arcata / Eureka,ACV,ACV,KACV,Arcata Airport
CALIFORNIA,Bakersfield,BFL,BFL,KBFL,Meadows Field
CALIFORNIA,Burbank,BUR,BUR,KBUR,Bob Hope Airport (Hollywood Burbank Airport)
CALIFORNIA,Carlsbad,CRQ,CLD,KCRQ,McClellan–Palomar Airport
CALIFORNIA,Chico,CIC,CIC,KCIC,Chico Municipal Airport
CALIFORNIA,Crescent City,CEC,CEC,KCEC,Del Norte County Airport (Jack McNamara Field)
CALIFORNIA,Fresno,FAT,FAT,KFAT,Fresno Yosemite International Airport
